,daily_screen_time,app_sessions,notifications_number,night_usage,age,productivity_hours,stress_level,apps_installed,addicted
83,6.445189345,17,45,0.740864891,31,6.235966886,63.3904738,11,not addicted
84,5.574519191,41,54,0.595753199,23,7.984329424,33.13,33,addicted
85,6.494728869,30,51,1.749121478,34,10.89273952,36.82316371,28,not addicted
86,10.74620635,40,84,1.457701059,38,6.432936294,73.135964,28,addicted
87,8.986253329,34,77,0.164375555,35,8.823104634,50.37961266,30,addicted
88,6.410719389,31,60,0.735119898,18,6.042669888,39.31771409,29,addicted
89,9.539802299,24,46,0.256633717,31,9.704717212,71.33,20,not addicted
90,8.29,38,90,0.048538775,35,6.009609426,49.93958441,35,addicted
91,10.90593497,37,56,1.484322495,43,6.152491104,48.4854319,22,addicted
92,5.893840718,23,45,0.648973453,38,5.183659694,39.03623819,18,not addicted
93,7.01701356,30,87,2.836168927,28,5.65185321,35.13914557,33,addicted
94,6.823675541,40,61,0.803945923,20,6.432635579,49.59476482,35,addicted
95,3.609455156,24,65,0,48,9.348094858,28.61862809,26,not addicted
96,8.888360831,27,47,0.148060139,49,4.735700174,68.04416847,24,not addicted
97,8.783165817,37,98,2.130527636,38,6.45376615,61.77431791,39,addicted
98,8.01534037,19,61,0.002556728,27,8.545122142,58.99448506,31,not addicted
99,7.3,28,44,0.882706433,20,5.66545162,37.086464,36,not addicted
100,3.753887774,41,90,0,31,7.401993248,30.5631916,32,addicted
101,6.738064032,27,62,0,35,6.984225645,60.11289708,27,not addicted
102,6.97185645,24,71,0,43,6.655675046,34.94463962,36,addicted
103,5.593168192,37,63,1.598861365,19,5.899869146,51.55639207,25,addicted
104,7.516142865,31,66,0,39,2.725324954,39.60335628,21,addicted
105,9.21215257,32,57,2.202025428,23,3.574014377,46.75320297,32,addicted
106,13.6585577,32,66,2.943092951,38,6.148100222,84.91335066,31,addicted
107,8.523733438,46,77,2.087288906,35,7.357955208,58.3,21,addicted
108,8.772651172,50,75,2.128775195,28,4.455875062,61.75340827,28,addicted
109,7.776662253,18,35,0.962777042,50,4.51911879,37.04234931,32,not addicted
110,2.243686354,26,32,0.040614392,27,6.217270049,17.8075191,27,not addicted
111,7.920458374,27,54,0,54,7.657222714,40.66720453,25,not addicted
112,8.18,25,42,0.030115105,20,7.255538872,34.19492122,37,not addicted
113,15,22,41,2.231621056,37,8.535631842,80.71263684,23,not addicted
114,7.422917106,28,82,0.903819518,15,5.624549817,37.02849897,29,addicted
115,8.904642027,36,65,4.150773671,27,6.26079758,58.64380377,35,addicted
116,7.9,24,38,1.982644115,48,5.576106832,58.9,28,not addicted
117,4.493965887,37,75,0.415660981,36,5.263396685,12.23172902,25,addicted
118,11.42846844,24,54,0.571411407,54,3.175980537,72.0904214,21,not addicted
119,10.2557991,25,49,2.375966516,20,6.411650907,49.76781273,27,not addicted
120,10.37309584,42,72,3.395515974,33,7.314542705,68.52942914,24,addicted
121,5.271837636,42,64,0,35,5.688634709,25.40372,31,addicted
122,12.20838293,25,60,0.701397155,35,5.474335491,62.73700742,25,not addicted
123,3.794446812,30,73,0.299074469,17,7.399832258,30.76332602,31,addicted
124,9.76,38,79,2.293428547,40,6.706538697,52.69420163,29,addicted
125,14.57136688,29,61,1.095227813,52,8.842018024,84.26856175,27,not addicted
126,5.028391025,31,33,0.504731837,21,3.890005456,7.970455272,34,not addicted
127,6.301106811,20,48,0,20,9.473275681,47.27215448,22,not addicted
128,8.298954095,37,50,0.049825683,47,4.410454261,58.00280978,28,not addicted
129,6.489573038,32,42,0,34,7.002728922,38.99201667,28,not addicted
130,3.348009707,23,74,0,38,3.236209529,4.812248827,32,addicted
131,8.205688924,24,50,2.034281487,53,9.604684589,61.32782533,21,not addicted
132,4.813088859,33,55,2.468848143,42,5.666868307,22.22,35,addicted
133,9.420777292,32,55,1.236796215,22,6.773323275,51.99112925,16,not addicted
134,5.24,26,66,0.540287883,38,8.156022028,54.57080435,32,addicted
135,12.64980322,26,53,2.774967203,27,6.648181778,68.86245485,22,not addicted
136,5.650240123,38,52,2.608373354,39,5.371104981,41.32354036,34,addicted
137,7.033815451,23,56,0.838969242,31,5.281046131,47.82381533,24,not addicted
138,10.44055165,32,74,2.406758609,19,6.195086096,66.54503184,31,addicted
139,4.307407051,26,48,0.384567842,29,6.141000271,28.66444773,37,addicted
140,8.682379804,22,47,0.113729967,32,6.188194281,55.85816444,33,not addicted
141,11.92142826,41,76,1.653571377,38,9.135970295,74.24797549,21,addicted
142,3.177550296,26,52,0,41,5.974040821,18.54611819,22,not addicted
143,8.553901576,25,36,1.092316929,37,9.755641562,66.44,32,not addicted
144,8.78,33,39,1.129941397,39,9.34366972,39.55128469,27,not addicted
145,10.34546862,26,86,1.390911436,38,9.510729052,72.28739273,21,addicted
146,4.289147867,33,50,0,34,3.411171149,33.95831019,26,not addicted
147,4.038630161,42,57,1.339771693,31,7.349199561,31.21577218,27,addicted
148,9.565824697,33,66,0.260970783,31,4.558489714,68.56474246,14,not addicted
149,8.89095402,21,43,1.148492337,31,7.953700302,52.41973017,22,not addicted
150,8.75,33,84,2.125246425,41,5.065512962,33.81913055,29,addicted
151,9.039344628,28,49,1.173224105,44,7.96385367,53.51314117,30,not addicted
152,5.959925835,28,53,0,23,10.50440289,25.84761284,24,not addicted
153,8.7,34,87,0.116126849,17,5.634070395,44.86197445,28,addicted
154,8.87921742,28,37,0.146536237,43,7.378790163,40.85110778,17,not addicted
155,5.856945746,23,67,0,42,6.761327571,30.36822589,25,not addicted
156,13.59732353,19,53,1.932887256,42,2.701688153,75.61770426,20,not addicted
157,9.421498763,38,58,1.23691646,44,6.811215085,32.75329428,33,addicted
158,4.426089508,29,69,0.404348251,40,7.350110956,33.55875616,29,addicted
159,9.969660826,40,56,1.328276804,20,7.110160929,82.02118354,30,addicted
160,5.075954989,35,89,1.512659165,18,5.303118597,36.51810187,19,addicted
161,10.36125381,25,53,0.393542302,40,5.898538022,60.1382833,31,not addicted
162,11.47578674,32,76,1.57929779,37,3.972626802,68.30725647,28,addicted
163,5.537953045,26,63,0,21,2.789507066,29.01785959,28,not addicted
164,10.89012839,24,39,0.481688065,32,3.045020792,66.24118617,29,not addicted
165,9.238342781,25,41,1.206390463,43,4.981495953,55.05997574,25,not addicted
166,10.46618048,23,45,1.41103008,48,5.579475785,54.38659858,24,not addicted
167,13.69037895,38,73,2.948396491,29,4.841444194,98.97115758,29,addicted
168,7.263835652,26,78,0.877305942,28,5.256422882,28.71147155,24,addicted
169,5.738791507,36,61,0.623131918,47,6.359165772,41.61606447,25,not addicted
170,5.33,33,61,1.555242785,37,8.949401186,30.97676399,40,addicted
171,5.552569145,23,39,0,29,7.950415908,52.32373302,21,not addicted
172,7.768694872,33,67,0,43,8.1704323,50.02081522,27,addicted
173,9.023455924,56,54,2.170575987,40,3.820047231,50.54,32,addicted
174,8.830072398,40,68,0.1383454,22,6.876146401,50.5033624,34,addicted
175,10.48154975,31,73,2.413591625,20,3.019953347,63.28836543,38,addicted
176,8.039005676,30,40,0.006500946,43,6.428604653,36.8061271,28,not addicted
177,12.36060223,34,56,0.726767039,37,6.616565237,66.49491814,26,not addicted
178,7.2060295,34,71,1.867671583,23,5.107528015,25.38673731,30,addicted
179,15,16,44,3.360084583,49,5.538511551,80.77023102,25,not addicted
180,9.877002043,35,60,2.312833674,22,4.046953241,60.20107708,32,addicted
181,5.428527331,37,50,0,36,7.150087525,35.57291448,25,not addicted
182,4.787322506,33,32,0.464553751,36,6.010335153,8.930638085,36,not addicted
183,9.447417246,26,40,0.241236208,42,4.931394148,55.31238644,33,not addicted
184,7.329611644,21,50,0.888268607,43,9.281704975,49.61176937,31,not addicted
185,10.14200148,33,56,2.357000247,21,6.918543903,59.22,38,addicted
186,9.419712874,42,78,0.236618812,29,4.683105677,50.18,27,addicted
187,7.781513262,33,64,2.963585544,23,1.793919427,42.56746812,42,addicted
188,5.459618846,27,55,0,36,9.729618323,27.35007952,30,not addicted
189,3.455458326,40,60,0.242576388,26,6.68163472,14.36544436,42,addicted
190,6.660455144,23,59,0,23,7.086911763,41.7,15,not addicted
191,10.56919638,25,55,1.428199397,27,6.153844114,86.49206058,27,not addicted
192,8.642281232,31,63,1.107046872,28,3.628150042,44.41668823,27,addicted
193,4.262783664,28,58,0,48,7.840928684,22.39527566,21,not addicted
194,8.519542778,26,64,2.086590463,32,4.97415103,50.60027727,32,addicted
195,9.16,21,48,0.19265869,38,5.656322783,48.06216849,17,not addicted
196,5.348427691,28,50,0,20,6.549117902,43.07292418,35,not addicted
197,8.461175318,37,65,2.076862553,25,5.814557313,27.05819817,35,addicted
198,8.17,34,80,1.029104359,24,3.734470415,43.73716523,36,addicted
199,4.571089107,28,74,1.428514851,34,7.409156868,35.61,40,addicted
200,9.07,31,83,1.17889368,43,6.852952846,51.4992294,28,addicted
201,9.682353579,28,62,0.280392263,30,7.589580521,49.89,25,not addicted
202,11.24915373,45,89,1.541525622,18,7.220378377,71.90248992,35,addicted
203,11.16140616,30,73,1.526901026,37,8.453171618,76.03186929,26,addicted
204,3.866991896,32,65,0,44,9.105317723,25.30830583,29,addicted
205,5.18652488,39,61,0.53108748,23,4.59938982,23.10694568,32,addicted
206,9.55,23,85,0.257517634,44,8.22810166,61.832668,32,addicted
207,9.541357853,30,47,1.256892975,48,6.79897535,53.22765411,18,not addicted
208,9.545143059,28,52,1.257523843,48,9.372593441,64.72272717,31,not addicted
209,15,25,45,1.926365745,38,9.741629442,100,25,not addicted
210,9.71,29,61,2.285445255,22,4.697211622,32.22026164,28,addicted
211,11.40669692,28,46,1.56778282,33,9.055533737,69.55085626,27,not addicted
212,10.86200529,41,77,1.477000882,21,2.132133032,47.81469237,34,addicted
213,9.954173754,36,76,0.325695626,27,7.220894293,84.14292838,35,addicted
214,7.054192266,33,63,2.842365378,28,7.765937733,37.64390826,28,addicted
215,10.27690766,34,87,1.37948461,15,7.373186621,69.12517839,25,addicted
216,5.681524356,32,52,0.613587393,20,6.98234157,33.73597754,25,addicted
217,7.28954418,32,37,1.881590697,51,5.59845771,35.70641927,31,not addicted
218,6.54,24,50,0,44,5.538973476,30.04292567,34,not addicted
219,8.245622418,27,49,0.04093707,51,8.792839587,65.33,32,not addicted
220,14.9439757,29,68,3.157329283,32,7.47796903,99.2232348,24,addicted
221,2.398204422,37,68,2.066367404,41,7.971792044,33.82506741,38,addicted
222,10.05878057,26,34,0.343130095,34,8.027726668,60.90721678,24,not addicted
223,3.161852386,34,91,0.193642064,27,5.143959811,21.85031053,26,addicted
224,6.58,27,73,1.764034067,38,5.866404217,36.83331076,28,addicted
225,11.26685179,29,79,1.544475298,37,2.856458898,64.73,31,addicted
226,8.192840057,22,52,1.03214001,53,9.479056534,38.73817102,28,not addicted
227,4.766765666,20,49,1.461127611,25,8.042005095,29.44,31,not addicted
228,5.854088872,24,47,1.642348145,23,5.605376703,27.23206728,26,not addicted
229,10.03879325,41,68,1.339798874,20,7.220954461,64.65,26,addicted
230,5.81,30,86,0.634816684,35,7.085005109,36.55350282,35,addicted
231,8.649375769,21,43,0.108229295,32,7.143841022,54.77307505,28,not addicted
232,8.14,32,68,0.02278592,24,7.83756497,65.57,19,addicted
233,6.045198957,29,56,1.674199826,52,6.981141025,35.89401425,28,not addicted
234,14.43183227,22,47,1.071972045,42,8.378363501,94.15826364,25,not addicted
235,9.901757067,32,72,1.316959511,41,7.025754732,79.92563704,26,addicted
236,1.92457224,47,68,0,37,4.653308535,24.61360413,25,addicted
237,8.559362944,38,85,0.093227157,16,9.576584849,62.88787465,28,addicted
238,6.014640606,34,43,0.669106768,34,6.846655892,33.02096148,23,not addicted
239,10.5573,23,56,1.426216667,28,7.114821528,65.64,35,not addicted
240,5.622437785,26,49,1.603739631,45,7.340861854,20.55186379,21,not addicted
241,7.655790676,35,62,1.942631779,37,3.2494572,50.92388806,30,addicted
242,9.51,42,55,2.252493639,28,6.137230089,59.8343728,27,addicted
243,10.59726558,38,69,2.432877597,31,6.011692563,63.81744475,34,addicted
244,4.399110779,41,67,2.399851796,40,6.513597394,36.66661256,29,addicted
245,6.996496292,26,78,0,41,4.396112589,29.90122953,39,addicted
246,6.575164067,36,71,1.762527344,24,6.817431426,55.79961291,30,addicted
247,6.040012302,32,61,0.673335384,51,5.450882344,45.25772069,21,not addicted
248,13.29636272,40,73,2.88272712,36,4.96468301,79.07,29,addicted
249,9.214945133,25,44,0.202490855,42,1.925635206,53.80237492,29,not addicted
250,4.217348137,44,75,0.369558023,16,7.240305608,30.11020097,49,addicted
251,10.75358584,31,66,2.458930974,42,4.760425616,79.73002737,30,addicted
252,14.37,30,46,1.061078099,44,6.050803859,87.21488873,25,addicted
253,11.09739578,17,46,1.51623263,48,3.072015451,68.02,25,not addicted
254,3.441890102,42,59,0.240315017,36,6.009059239,20.83252539,33,addicted
255,6.547297781,31,88,0,19,6.891012056,57.1,32,addicted
256,11.80073345,38,72,3.633455575,35,8.815558449,67.11556966,30,addicted
257,5.876991603,35,60,0,26,4.985246201,34.96687363,25,not addicted
258,9.331458284,22,54,2.221909714,49,3.731717827,70.62310625,24,not addicted
259,10.32390216,27,52,0.387317027,44,9.073505417,63.41,34,not addicted
260,5.219208585,35,67,2.536534764,38,5.56852943,42.68584011,31,addicted
261,7.82,32,76,2.970237322,19,4.544359972,37.81574302,27,addicted
262,1,31,62,1.37936633,28,3.897353739,3.947074784,23,addicted
263,4.93,31,63,0.487806179,35,6.742217019,44.40536284,32,addicted
264,7.242295546,20,53,0,20,9.661830142,36.69037612,26,not addicted
265,4.256650454,28,54,0,46,9.92435048,24.02691233,29,not addicted
266,12.89723391,27,60,0.816205652,45,4.128342615,79.95025578,17,not addicted
267,3.709575866,15,59,0.284929311,47,2.505422741,12.36591002,29,not addicted
268,6.67986654,29,47,0,30,7.793094941,35.94109805,18,not addicted
269,8.392221732,24,56,0.065370289,49,6.056318341,51.47969721,23,not addicted
270,12.32381987,34,79,0.720636645,32,5.023340867,74.40973654,27,addicted
271,3.692413546,28,80,1.282068924,32,4.64017601,34.95800149,20,addicted
272,11.48949126,42,76,1.581581876,29,5.770728597,84.35,25,addicted
273,8.030699183,38,76,1.005116531,22,2.571957564,39.62334638,30,addicted
274,5.055474047,35,64,1.509245674,34,5.05563426,31.44552947,28,addicted
275,9.386310423,31,58,0.231051737,40,8.337124154,63.06034562,21,not addicted
276,8.6,27,40,1.099529848,34,8.758173733,66.74654918,24,not addicted
277,6.199349369,32,50,0,26,6.359245149,44.38099918,29,not addicted
278,8.209406255,42,59,1.034901042,28,7.145456701,52.16557155,18,addicted
279,6.84,36,80,0,39,4.333271266,47.72978058,24,addicted
280,8.340552036,31,85,0.056758673,21,5.336884417,56.78100056,34,addicted
281,9.99,24,47,2.331065337,39,3.536142854,50.64120922,15,not addicted
282,12.75805045,37,84,1.793008408,27,3.096399396,78.47629062,33,addicted
283,4.286553504,26,52,0.381092251,26,6.729580497,40.31093096,22,not addicted
284,14.4,27,51,2.066516687,22,2.896321616,84.32103306,17,not addicted
285,2.143736601,47,75,2.0239561,44,2.064723321,14.15688603,25,addicted
286,7.54,32,70,2.924107452,24,3.878741775,42.84270379,35,addicted
287,9.76,26,35,1.294158603,37,2.843070252,35.45111476,27,not addicted
288,8.842975603,45,78,0.140495934,27,5.010295089,53.26375539,18,addicted
289,6.131901441,19,41,0.68865024,42,4.150895965,39.80932795,34,not addicted
290,7.375633249,14,52,0.895938875,21,5.743753305,39.12886558,22,not addicted
291,6.520997196,32,80,1.753499533,37,4.422681526,27.57961369,28,addicted
292,6.231905729,30,51,1.705317622,26,7.55969677,28.59,32,not addicted
293,10.54880629,37,68,2.424801049,19,5.382093808,70.93471391,26,addicted
294,9.071046458,38,80,3.178507743,22,4.986262387,74.15,22,addicted
295,5.921271214,31,46,0,52,6.69121667,49.35196069,27,not addicted
296,10.69879963,46,65,1.449799938,32,6.327826998,50.75,33,addicted
297,8.921898563,40,61,2.15364976,36,1.427313655,62.07766448,14,addicted
298,10.43858636,27,60,0.406431059,36,5.668418812,55.99989438,23,not addicted
299,9.888886526,46,76,1.314814421,24,10.70886647,53.51064853,21,addicted
300,5.513014967,27,87,0.585502495,37,3.769012201,28.45833382,28,addicted
301,6.319456879,31,63,1.71990948,31,4.353033475,44.97741078,33,addicted
302,10.24188082,29,64,2.373646803,41,8.479626688,71.04381866,24,not addicted
303,9.831110796,35,47,0.305185133,48,3.950984464,58.00635407,30,not addicted
304,7.937295218,22,67,0.989549203,52,6.959464629,46.8130639,19,not addicted
305,8.35198215,30,52,1.058663692,23,5.232131872,54.75453033,26,not addicted
306,11.83299469,24,52,3.638832448,25,6.28399727,76.67791352,24,not addicted
307,6.23,31,57,0,48,11.58811285,49.11397207,29,not addicted
308,9.641292144,16,62,0.273548691,54,7.357814012,45.00403311,17,not addicted
309,7.393422043,27,46,0,21,7.01001367,44.56080565,17,not addicted
310,7.34695639,16,47,0,42,5.465987812,33.40149458,21,not addicted
311,11.29633056,36,62,1.549388426,38,5.97452886,67.26856055,31,addicted
312,10.47624905,27,72,1.412708174,28,4.886912356,60.5957414,37,addicted
313,10.44052891,34,62,0.406754818,16,6.976625273,62.17567891,35,addicted
314,11.91643642,26,57,0.652739404,44,9.600128556,63.50118965,26,not addicted
315,8.063011525,37,58,1.010501921,16,7.256355103,33.50517122,30,addicted
316,10.04585891,44,76,2.340976486,42,1.952781237,39.33077822,33,addicted
317,7.06919973,39,67,0,26,3.934409923,41.10339684,30,addicted
318,8.972499057,41,80,1.162083176,42,7.784499447,49.52498329,23,addicted
319,7.609570837,18,44,0.934928473,54,6.662031168,38.89804837,36,not addicted
320,8.290987895,26,42,4.048497982,16,8.661274231,62.971412,32,addicted
321,9.79,40,69,4.297578513,25,3.570280907,50.11844459,29,addicted
322,5.54533795,32,74,0.590889658,44,2.708417041,47.44036852,27,addicted
323,14.27716183,39,70,2.046193638,40,5.811921872,100,36,addicted
324,4.981947856,23,47,0.496991309,26,8.024549767,10.38268247,17,not addicted
325,4.357434162,34,72,0.392905694,33,4.046190729,27.06841956,37,addicted
326,11.47433262,39,59,1.579055437,17,4.800151755,64.85,31,addicted
327,10.37498808,31,73,3.395831347,17,1.544098028,33.13,29,addicted
328,9.872359451,40,80,3.312059909,35,6.277679373,44.78774418,33,addicted
329,9.89,27,65,2.314172755,27,5.387468054,67.05958024,24,addicted
330,7.963259681,33,59,0,41,7.009599626,67.97155062,24,addicted
331,5.308236886,28,48,1.551372814,34,5.451339071,40.87620274,23,not addicted
332,8.227413675,41,90,3.037902279,37,7.161816236,52.60080677,32,addicted
333,5.968514865,22,50,0,45,8.989333809,35.59776538,23,not addicted
334,10.9253592,35,71,2.487559867,42,7.841331457,82.37878435,37,addicted
335,7.558827855,31,79,1.926471309,36,7.074119601,66.83535915,27,addicted
336,5.52350841,22,57,0,26,8.70657866,27.27262366,20,not addicted
337,7.04,30,77,1.839307079,24,4.00000672,22.21518925,36,addicted
338,9.238794363,30,68,0.206465727,30,5.950906268,34.45089154,31,addicted
339,6.308826342,19,29,0.718137724,40,1.660940496,51.07176797,19,not addicted
340,5.533338813,44,73,1.588889802,32,5.97647073,32.72944747,32,addicted
341,8.731061634,26,66,1.121843606,44,7.091620955,54.21878891,24,addicted
342,8.734899713,26,47,0.122483286,29,6.104674504,34.50288835,31,not addicted
343,6.479170474,43,74,0.746528412,19,4.623405544,31.34,28,addicted
344,6.586885083,37,61,1.764480847,16,8.852259593,36.56650236,25,addicted
345,8.696149812,23,51,0.116024969,49,1.103919192,54.25528271,28,not addicted
346,3.655746976,33,61,2.275957829,36,3.800703981,17.94856146,31,addicted
347,3.777608677,29,44,0,24,8.481336901,12.29239008,23,not addicted
348,5.844667336,30,41,0.640777889,32,2.607716504,27.22233409,31,not addicted
349,7.359658545,31,42,0.893276424,52,7.604161643,56.24118413,28,not addicted
350,8.932722697,18,52,2.155453783,51,7.12239231,56.04418238,25,not addicted
351,12.42606865,30,59,1.737678108,49,5.306078403,80.67797997,30,not addicted
352,10.57297887,37,75,1.428829812,30,5.550563095,54.44913511,37,addicted
353,7.52018441,24,41,0,24,1.523088257,15.58287161,24,not addicted
354,7.942951376,27,56,0,50,6.738447847,42.42666519,27,not addicted
355,4.992411906,21,36,1.498735318,29,4.566714723,21.28876589,31,not addicted
356,7.94,32,75,0.990743432,27,3.174506134,51.15688624,27,addicted
357,7.134024083,16,41,0.855670681,44,12.64286186,75.66138164,23,not addicted
358,8.968155681,22,50,0.16135928,39,6.347583009,60.76059426,26,not addicted
359,5.518307169,35,63,0.586384528,43,8.36798008,60.46944461,38,addicted
360,9.558039543,20,55,0.259673257,37,7.284384848,63.03593421,27,not addicted
361,12.59821674,20,62,0.766369457,29,5.685056881,69.29043806,20,not addicted
362,7.673719555,28,52,0.945619926,29,6.173958039,49.52147811,16,not addicted
363,9.205135166,26,58,0.200855861,49,5.8903193,73.03719699,22,not addicted
364,10.07043198,27,51,2.345071996,18,4.914781298,78.71821781,27,addicted
365,6.796338584,38,66,1.799389764,41,8.712331316,35.02465783,25,addicted
366,8.67,30,34,1.112046241,50,7.126591848,54.56550163,25,not addicted
367,8.037777202,45,76,3.0062962,39,3.28536656,33.93399442,35,addicted
368,8.293028296,29,58,1.048838049,16,4.412334312,58.00485602,45,addicted
369,5.680970648,36,60,0,17,2.77667735,49.61937088,23,addicted
370,8.073530523,46,79,1.012255087,24,8.019899727,48.83917768,20,addicted
371,9.49,21,42,1.248999146,53,5.666307973,50.2901287,19,not addicted
372,12.35343082,39,75,1.725571804,29,6.180065476,77.72189445,29,addicted
373,10.87781248,40,63,0.479635413,19,3.208729516,69.44146518,34,addicted
